 Trial name                      , status     , loc                 ,   stoch_latent_dim ,   mach_latent_dim ,   alpha_prof ,   alpha_mach ,   beta_mach_unsup ,   beta_stoch ,     loss ,   loss_mp 
 train_model_on_tune_8a726_00196 , TERMINATED , 10.140.0.117:72341  ,6,11,500,500,0.001,1,0.850529,0.825165
 train_model_on_tune_8a726_00197 , TERMINATED , 10.140.0.117:72830  ,6,11,500,500,0.0001,1,0.850529,0.715919
 train_model_on_tune_8a726_00198 , TERMINATED , 10.140.0.117:81681  ,6,11,500,500,0.005,1,0.850529,0.85073
 train_model_on_tune_8a726_00199 , TERMINATED , 10.140.0.117:84017  ,6,11,500,500,0.0005,1,0.850529,0.801214
 train_model_on_tune_8a726_00205 , TERMINATED , 10.140.0.117:89150  ,6,13,500,500,0.1,1,0.850529,1.0421
 train_model_on_tune_8a726_00206 , TERMINATED , 10.140.0.117:96283  ,6,13,500,500,0.001,1,0.850529,1.10258
 train_model_on_tune_8a726_00207 , TERMINATED , 10.140.0.117:98770  ,6,13,500,500,0.0001,1,0.850529,1.10063
 train_model_on_tune_8a726_00208 , TERMINATED , 10.140.0.117:104060 ,6,13,500,500,0.005,1,0.850529,1.12036
 train_model_on_tune_8a726_00209 , TERMINATED , 10.140.0.117:106202 ,6,13,500,500,0.0005,1,0.850529,1.08393
 train_model_on_tune_8a726_00098 , TERMINATED , 10.140.0.117:12680  ,4,13,500,500,0.005,1,0.850583,0.924215
 train_model_on_tune_8a726_00097 , TERMINATED , 10.140.0.117:12280  ,4,13,500,500,0.0001,1,0.850616,1.18786
 train_model_on_tune_8a726_00155 , TERMINATED , 10.140.0.117:139788 ,5,14,500,500,0.1,1,0.850636,1.12454
 train_model_on_tune_8a726_00156 , TERMINATED , 10.140.0.117:142185 ,5,14,500,500,0.001,1,0.850636,0.738272
