trial_id,loss,KLD_mach,KLD_stoch,loss_mp,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.LR,config.mach_latent_dim,config.stoch_latent_dim,config.beta_stoch,config.beta_mach_unsup,config.beta_mach_sup,config.alpha_prof,config.alpha_mach,config.start_sup_time,config.physics,config.gamma_stored_energy,config.encoder_end_dense_size,config.dataset_choice,config.scheduler_step,config.mp_hdims_aux,config.mp_hdims_cond
aa7e5_00031,0.18909983336925507,15.821105003356934,0.00534749636426568,0.7062426805496216,2.1664516925811768,True,,,50,95af31103ab242b6b575d6c02044a97e,2022-04-27_01-14-59,1651011299,113.11171579360962,615337,adam-der-physiker,192.168.1.121,113.11171579360962,0,50,"31_alpha_prof=204,beta_mach_unsup=0.0007",0.003,9,3,1.0,0.0007,10.0,204,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00032,0.16754893958568573,16.687904357910156,4.565212726593018,0.7011057138442993,2.142923355102539,True,,,50,7446ce3726bd462a9a1b0835e787c8e1,2022-04-27_01-15-44,1651011344,112.60445213317871,618848,adam-der-physiker,192.168.1.121,112.60445213317871,0,50,"32_alpha_prof=938,beta_mach_unsup=0.0911",0.003,9,3,1.0,0.0911,10.0,938,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00033,0.17697907984256744,17.898527145385742,0.05228666216135025,0.6962993144989014,2.1675357818603516,True,,,50,a883fb7a51ca48b590c9c2333f480e90,2022-04-27_01-16-54,1651011414,112.63366317749023,624294,adam-der-physiker,192.168.1.121,112.63366317749023,0,50,"33_alpha_prof=505,beta_mach_unsup=0.0146",0.003,9,3,1.0,0.0146,10.0,505,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00034,0.338197261095047,29.09495735168457,3.1410391330718994,0.8403492569923401,2.1703457832336426,True,,,35,63a9976b8d0943b68c8a72484a4fd9d5,2022-04-27_01-17-05,1651011425,79.31081509590149,627757,adam-der-physiker,192.168.1.121,79.31081509590149,0,35,"34_alpha_prof=618,beta_mach_unsup=0.0002",0.003,9,3,1.0,0.0002,10.0,618,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00035,0.33063870668411255,19.71382713317871,2.4295992851257324,0.8196395635604858,2.1849286556243896,True,,,50,18e544d3869c457facb2f4522c24fc46,2022-04-27_01-18-48,1651011528,111.72993206977844,633246,adam-der-physiker,192.168.1.121,111.72993206977844,0,50,"35_alpha_prof=768,beta_mach_unsup=0.0137",0.003,9,3,1.0,0.0137,10.0,768,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00036,0.34656810760498047,25.969606399536133,3.9890213012695312,0.8390983939170837,2.1975953578948975,True,,,35,74ec1a90680848469431542eb49ad6c6,2022-04-27_01-18-27,1651011507,79.60767078399658,634026,adam-der-physiker,192.168.1.121,79.60767078399658,0,35,"36_alpha_prof=605,beta_mach_unsup=0.0025",0.003,9,3,1.0,0.0025,10.0,605,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00037,0.16701795160770416,16.25446128845215,3.8057565689086914,0.704228937625885,2.213446617126465,True,,,50,d4e389a4d17a442eae3f6b35fed61b49,2022-04-27_01-20-23,1651011623,113.85643577575684,640530,adam-der-physiker,192.168.1.121,113.85643577575684,0,50,"37_alpha_prof=709,beta_mach_unsup=0.0673",0.003,9,3,1.0,0.0673,10.0,709,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00038,0.4127049446105957,6.33967399597168,0.013156693428754807,0.8174143433570862,2.164808511734009,True,,,35,5bd7aa09d58045eea826ef0cb7a11e39,2022-04-27_01-20-08,1651011608,78.31454277038574,642013,adam-der-physiker,192.168.1.121,78.31454277038574,0,35,"38_alpha_prof=170,beta_mach_unsup=0.0731",0.003,9,3,1.0,0.0731,10.0,170,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00039,0.35711488127708435,29.714672088623047,2.204009771347046,0.8392550945281982,2.13844633102417,True,,,35,68a7e0b306724a47af74293ffb71ab09,2022-04-27_01-21-28,1651011688,77.7625515460968,648427,adam-der-physiker,192.168.1.121,77.7625515460968,0,35,"39_alpha_prof=548,beta_mach_unsup=0.0001",0.003,9,3,1.0,0.0001,10.0,548,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00040,0.3986668586730957,18.26514434814453,1.567836046218872,0.8455015420913696,2.277022361755371,True,,,35,a2b7edbd506046e1a4806c9eb31d8c29,2022-04-27_01-21-44,1651011704,78.73224687576294,649469,adam-der-physiker,192.168.1.121,78.73224687576294,0,35,"40_alpha_prof=687,beta_mach_unsup=0.0068",0.003,9,3,1.0,0.0068000000000000005,10.0,687,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
