,shot,dda,FLAG:HRTSdatavalidated
352,79622.0,T001/pbohm,2.0
353,79623.0,T001/pbohm,1.0
354,79625.0,T001/pbohm,1.0
355,79625.0,T002/pbohm,1.0
356,79626.0,T001/pbohm,1.0
357,79626.0,T002/pbohm,1.0
358,79628.0,T001/pbohm,1.0
359,79628.0,T002/pbohm,1.0
360,79629.0,T001/pbohm,1.0
361,79629.0,T002/pbohm,1.0
362,79630.0,T001/pbohm,1.0
363,79630.0,T002/pbohm,1.0
364,79630.0,T003/pbohm,1.0
365,79631.0,T001/pbohm,1.0
366,79633.0,T001/pbohm,1.0
367,79634.0,T001/pbohm,1.0
368,79635.0,T001/pbohm,1.0
369,79636.0,T001/pbohm,1.0
370,79638.0,T001/pbohm,2.0
371,79638.0,T002/pbohm,2.0
372,79639.0,T001/pbohm,1.0
373,79640.0,T001/pbohm,0.0
374,79641.0,T001/pbohm,1.0
375,79641.0,T002/pbohm,1.0
376,79641.0,T003/pbohm,1.0
377,79641.0,T004/pbohm,1.0
378,79642.0,T001/pbohm,1.0
379,79642.0,T002/pbohm,1.0
380,79643.0,T001/pbohm,1.0
381,79643.0,T002/pbohm,1.0
382,79643.0,T003/pbohm,1.0
383,79646.0,T001/pbohm,0.0
384,79646.0,T002/pbohm,0.0
385,79646.0,T003/pbohm,0.0
386,79647.0,T001/pbohm,1.0
387,79647.0,T002/pbohm,1.0
388,79651.0,T001/pbohm,1.0
389,79651.0,T002/pbohm,1.0
390,79651.0,T003/pbohm,1.0
391,79652.0,T001/pbohm,0.0
392,79652.0,T002/pbohm,0.0
393,79652.0,T003/pbohm,0.0
394,79653.0,T001/pbohm,1.0
395,79653.0,T002/pbohm,1.0
396,79653.0,T003/pbohm,1.0
397,79654.0,T001/pbohm,1.0
398,79654.0,T002/pbohm,1.0
399,79655.0,T001/pbohm,0.0
400,79655.0,T002/pbohm,0.0
401,79655.0,T003/pbohm,0.0
402,79656.0,T001/pbohm,1.0
403,79656.0,T002/pbohm,1.0
404,79656.0,T003/pbohm,1.0
405,79657.0,T001/pbohm,1.0
406,79657.0,T003/pbohm,1.0
407,79657.0,T004/pbohm,1.0
408,79658.0,T001/pbohm,0.0
409,79658.0,T002/pbohm,0.0
410,79658.0,T003/pbohm,0.0
411,79661.0,T001/pbohm,1.0
412,79664.0,T002/pbohm,1.0
413,79666.0,T001/pbohm,2.0
414,79667.0,T001/pbohm,2.0
415,79668.0,T001/pbohm,1.0
416,79669.0,T002/pbohm,1.0
417,79672.0,T001/pbohm,2.0
418,79673.0,T001/pbohm,1.0
419,79675.0,T002/pbohm,1.0
420,79676.0,T002/pbohm,1.0
421,79676.0,T003/pbohm,1.0
422,79679.0,T001/pbohm,1.0
423,79682.0,T001/pbohm,1.0
424,79684.0,T001/pbohm,1.0
425,79685.0,T001/pbohm,1.0
426,79687.0,T001/pbilkova,1.0
427,79688.0,T001/pbohm,1.0
428,79690.0,T001/pbohm,2.0
429,79691.0,T002/pbohm,1.0
430,79692.0,T002/pbohm,2.0
431,79696.0,T001/pbohm,1.0
432,79697.0,T001/pbohm,2.0
433,79697.0,T002/pbohm,2.0
434,79698.0,T001/pbohm,1.0
435,78713.0,T001/pbilkova,1.0
436,78714.0,T001/pbilkova,2.0
437,79717.0,T001/pbohm,1.0
438,79717.0,T002/pbohm,1.0
439,79718.0,T001/pbohm,1.0
440,79719.0,T001/pbohm,1.0
441,79720.0,T001/pbohm,1.0
442,79722.0,T001/pbohm,1.0
443,79723.0,T001/pbohm,1.0
444,79725.0,T001/pbohm,1.0
445,79726.0,T001/pbohm,1.0
446,79727.0,T001/pbohm,1.0
447,79728.0,T001/pbohm,1.0
448,79728.0,T002/pbohm,1.0
449,79729.0,T001/pbohm,1.0
450,79729.0,T002/pbohm,1.0
451,79729.0,T003/pbohm,1.0
452,79730.0,T003/pbohm,1.0
453,79731.0,T001/pbohm,1.0
454,79731.0,T002/pbohm,1.0
455,79731.0,T003/pbohm,1.0
456,79732.0,T001/pbohm,1.0
457,79732.0,T002/pbohm,1.0
458,79735.0,T001/pbohm,1.0
459,79736.0,T001/pbohm,1.0
460,79738.0,T002/pbohm,1.0
461,79738.0,T004/pbohm,1.0
462,79739.0,T001/pbohm,1.0
463,79739.0,T002/pbohm,1.0
464,79740.0,T001/pbohm,1.0
465,79742.0,T001/lfrassin,1.0
466,79743.0,T024/lfrassin,1.0
467,79744.0,T016/lfrassin,1.0
468,79745.0,T016/lfrassin,1.0
469,79747.0,T001/pbohm,1.0
470,79749.0,T001/pbohm,0.0
471,79750.0,T001/pbohm,2.0
472,79751.0,T001/pbohm,0.0
473,79752.0,T001/pbohm,0.0
474,79752.0,T002/pbohm,0.0
475,79753.0,T001/pbohm,0.0
476,79754.0,T001/pbohm,0.0
477,79755.0,T001/pbohm,1.0
478,79755.0,T002/pbohm,1.0
479,79756.0,T001/pbohm,1.0
480,79757.0,T001/pbohm,0.0
481,79757.0,T002/pbohm,0.0
482,79758.0,T001/pbohm,0.0
483,79758.0,T002/pbohm,0.0
484,79758.0,T003/pbohm,0.0
485,79759.0,T001/pbohm,1.0
486,79759.0,T002/pbohm,1.0
