trial_id,loss,KLD_mach,KLD_stoch,loss_mp,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.LR,config.mach_latent_dim,config.stoch_latent_dim,config.beta_stoch,config.beta_mach,config.alpha_prof,config.alpha_mach,config.physics,config.gamma_stored_energy,config.encoder_end_dense_size
2a038_00159,0.6467584371566772,28.984371185302734,0.00829259306192398,0.6325438022613525,5.842368125915527,True,,,40.0,4ff8584017ae4324a7b5e750f2a36c53,2022-04-06_09-03-55,1649225035.0,236.0275809764862,712979.0,adam-der-physiker,192.168.0.9,236.0275809764862,0.0,40.0,"159_encoder_end_dense_size=192,mach_latent_dim=9",0.003,9.0,3.0,0.001,100.0,1.0,1.0,False,0.0,192.0
2a038_00160,0.0647386834025383,40.701297760009766,1.6429489850997925,0.5018019676208496,5.836974382400513,True,,,50.0,f0cf067825a349d6ad83e07a1ecd50b9,2022-04-06_09-05-53,1649225153.0,297.9030523300171,714639.0,adam-der-physiker,192.168.0.9,297.9030523300171,0.0,50.0,"160_encoder_end_dense_size=144,mach_latent_dim=13",0.003,13.0,3.0,0.001,100.0,1.0,1.0,False,0.0,144.0
2a038_00161,0.07863818109035492,25.61588478088379,3.115849018096924,0.52139812707901,6.730923652648926,True,,,50.0,a4f5b5b911c34626bb8fc2566782884f,2022-04-06_09-09-34,1649225374.0,336.73491048812866,720496.0,adam-der-physiker,192.168.0.9,336.73491048812866,0.0,50.0,"161_encoder_end_dense_size=816,mach_latent_dim=6",0.003,6.0,3.0,0.001,100.0,1.0,1.0,False,0.0,816.0
2a038_00162,0.7366523742675781,37.514801025390625,1.1300945516268257e-05,0.4973198473453522,6.593446493148804,True,,,50.0,2c367675ddfc4beca037247cfa94406c,2022-04-06_09-11-29,1649225489.0,333.5070357322693,724031.0,adam-der-physiker,192.168.0.9,333.5070357322693,0.0,50.0,"162_encoder_end_dense_size=688,mach_latent_dim=8",0.003,8.0,3.0,0.001,100.0,1.0,1.0,False,0.0,688.0
2a038_00163,0.20760215818881989,44.0014533996582,0.0717121958732605,0.6375503540039062,6.380548477172852,True,,,40.0,34e1da3f2af34dcc9092704bc3cbc1ad,2022-04-06_09-13-52,1649225632.0,254.87721180915833,730165.0,adam-der-physiker,192.168.0.9,254.87721180915833,0.0,40.0,"163_encoder_end_dense_size=512,mach_latent_dim=11",0.003,11.0,3.0,0.001,100.0,1.0,1.0,False,0.0,512.0
2a038_00164,0.23440805077552795,107.98939514160156,0.24939902126789093,0.6431655883789062,6.504265069961548,False,,,25.0,18bb0d808b914f76a995c0dfdb6122ae,2022-04-06_09-14-16,1649225656.0,164.80392932891846,733544.0,adam-der-physiker,192.168.0.9,164.80392932891846,0.0,25.0,"164_encoder_end_dense_size=624,mach_latent_dim=12",0.003,12.0,3.0,0.001,100.0,1.0,1.0,False,0.0,624.0
2a038_00165,0.7367269992828369,38.115177154541016,2.080327476505772e-06,0.507805585861206,6.211475610733032,True,,,50.0,bce1a13fdceb4df0afb79565dd6b3293,2022-04-06_09-19-02,1649225942.0,308.54692125320435,737730.0,adam-der-physiker,192.168.0.9,308.54692125320435,0.0,50.0,"165_encoder_end_dense_size=416,mach_latent_dim=9",0.003,9.0,3.0,0.001,100.0,1.0,1.0,False,0.0,416.0
2a038_00166,0.6421011090278625,32.531654357910156,0.00608549639582634,0.6411048769950867,6.123900890350342,True,,,40.0,c25913e967774bad83b2b6b01dbac714,2022-04-06_09-18-28,1649225908.0,245.5066158771515,738590.0,adam-der-physiker,192.168.0.9,245.5066158771515,0.0,40.0,"166_encoder_end_dense_size=288,mach_latent_dim=12",0.003,12.0,3.0,0.001,100.0,1.0,1.0,False,0.0,288.0
2a038_00167,0.6467602849006653,27.449487686157227,0.004982110112905502,0.6439982652664185,6.232195854187012,True,,,40.0,9a71fb22b1cb4b3ca221e7d5301393c5,2022-04-06_09-22-29,1649226149.0,238.44116640090942,746160.0,adam-der-physiker,192.168.0.9,238.44116640090942,0.0,40.0,"167_encoder_end_dense_size=208,mach_latent_dim=10",0.003,10.0,3.0,0.001,100.0,1.0,1.0,False,0.0,208.0
2a038_00168,0.0636851117014885,34.0558967590332,1.4113612174987793,0.5142897367477417,5.886466026306152,True,,,50.0,d0e55fd4230641b0afd69a932cf6dce3,2022-04-06_09-24-03,1649226243.0,298.5081789493561,747245.0,adam-der-physiker,192.168.0.9,298.5081789493561,0.0,50.0,"168_encoder_end_dense_size=224,mach_latent_dim=10",0.003,10.0,3.0,0.001,100.0,1.0,1.0,False,0.0,224.0
2a038_00169,0.7367243766784668,30.509180068969727,1.541309870844998e-06,0.49808526039123535,6.059153079986572,True,,,50.0,543164686f904b4b947d1e67f59b97f3,2022-04-06_09-27-40,1649226460.0,308.17715978622437,753768.0,adam-der-physiker,192.168.0.9,308.17715978622437,0.0,50.0,"169_encoder_end_dense_size=368,mach_latent_dim=9",0.003,9.0,3.0,0.001,100.0,1.0,1.0,False,0.0,368.0
