trial_id,loss,KLD_mach,KLD_stoch,loss_mp,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.LR,config.mach_latent_dim,config.beta_stoch,config.beta_mach,config.alpha_prof,config.alpha_mach
61aa9_00413,0.22024120390415192,51.05908203125,0.3501293957233429,0.640740692615509,6.262345790863037,True,,,40,2dc131da5c314c2f812f042227dcb375,2022-02-13_16-34-16,1644762856,232.10092639923096,23303,g6201.mahti.csc.fi,10.141.5.206,232.10092639923096,0,40,"413_beta_stoch=0.00065,mach_latent_dim=14",0.003,14,0.0006500000000000001,100,1.0,1.0
61aa9_00414,0.3012984097003937,42.5196647644043,4.272648334503174,0.6358736753463745,5.125584602355957,True,,,40,faf057943fe44c458b610a4f06af107f,2022-02-13_16-34-39,1644762879,219.20972967147827,29296,g6201.mahti.csc.fi,10.141.5.206,219.20972967147827,0,40,"414_beta_stoch=0.0002,mach_latent_dim=13",0.003,13,0.0002,100,1.0,1.0
61aa9_00415,0.07651551812887192,10.36629581451416,0.00019546173280104995,0.5358684659004211,5.592237234115601,True,,,50,56e502099d594d3a93cb8a4ec8e63762,2022-02-13_16-36-11,1644762971,286.0655155181885,35234,g6201.mahti.csc.fi,10.141.5.206,286.0655155181885,0,50,"415_beta_stoch=0.0944,mach_latent_dim=7",0.003,7,0.0944,100,1.0,1.0
61aa9_00416,0.06456433236598969,36.359840393066406,1.7649444341659546,0.522125780582428,5.675438642501831,True,,,50,0191f4e48aa24554a1210d68ddb20383,2022-02-13_16-36-33,1644762993,272.0488770008087,41272,g6201.mahti.csc.fi,10.141.5.206,272.0488770008087,0,50,"416_beta_stoch=0.0014,mach_latent_dim=12",0.003,12,0.0014,100,1.0,1.0
61aa9_00417,0.05657275393605232,41.91196060180664,3.3133208751678467,0.5136277675628662,6.238735914230347,True,,,50,6074166409fc4e3089e185d5d768a50f,2022-02-13_16-37-19,1644763039,289.1346821784973,48689,g6201.mahti.csc.fi,10.141.5.206,289.1346821784973,0,50,"417_beta_stoch=0.001,mach_latent_dim=10",0.003,10,0.001,100,1.0,1.0
61aa9_00418,0.21765123307704926,9.830024719238281,0.00048494909424334764,0.644469678401947,5.208754539489746,True,,,50,007b6b8fc2e749ac938dfaa5ef1eac8b,2022-02-13_16-37-08,1644763028,272.6188209056854,49748,g6201.mahti.csc.fi,10.141.5.206,272.6188209056854,0,50,"418_beta_stoch=0.03105,mach_latent_dim=5",0.003,5,0.03105,100,1.0,1.0
61aa9_00419,0.2523432970046997,4.243391513824463,7.553206614829833e-06,0.6628411412239075,5.19451642036438,True,,,40,11fec4eec7fb4d4196d86ad90f3abd20,2022-02-13_16-36-04,1644762964,206.53576111793518,50282,g6201.mahti.csc.fi,10.141.5.206,206.53576111793518,0,40,"419_beta_stoch=0.29255,mach_latent_dim=7",0.003,7,0.29255000000000003,100,1.0,1.0
61aa9_00420,0.1374298632144928,4.88779354095459,9.606717867427506e-06,0.5823855400085449,5.57565975189209,True,,,50,a5e8a075830e4bef89050b07caed7e38,2022-02-13_16-37-31,1644763051,277.49102091789246,60293,g6201.mahti.csc.fi,10.141.5.206,277.49102091789246,0,50,"420_beta_stoch=0.678,mach_latent_dim=10",0.003,10,0.678,100,1.0,1.0
61aa9_00421,0.3035937249660492,7.065610885620117,7.08946208760608e-06,0.6409205794334412,5.029816389083862,True,,,40,98a3c69ae29641888c33db537ec96e64,2022-02-13_16-37-50,1644763070,211.5566849708557,76192,g6201.mahti.csc.fi,10.141.5.206,211.5566849708557,0,40,"421_beta_stoch=0.13975,mach_latent_dim=12",0.003,12,0.13975,100,1.0,1.0
61aa9_00422,0.21208705008029938,29.104894638061523,0.00815621018409729,0.6283677816390991,5.726725339889526,True,,,50,de500420fe074d46b922ca4bd6fffee4,2022-02-13_16-39-27,1644763167,285.9329855442047,80769,g6201.mahti.csc.fi,10.141.5.206,285.9329855442047,0,50,"422_beta_stoch=0.00485,mach_latent_dim=14",0.003,14,0.00485,100,1.0,1.0
61aa9_00423,0.06111454963684082,14.916640281677246,7.784028275636956e-05,0.5152766108512878,5.602609157562256,True,,,50,5fa53ad57d474fc49104cdae066b4033,2022-02-13_16-40-53,1644763253,286.43062257766724,91903,g6201.mahti.csc.fi,10.141.5.206,286.43062257766724,0,50,"423_beta_stoch=0.05945,mach_latent_dim=10",0.003,10,0.05945,100,1.0,1.0
61aa9_00424,0.21000376343727112,30.67009162902832,2.70961594581604,0.6452131867408752,5.336589336395264,True,,,50,6fbde927d0aa4bb78b58410d9d5ca94c,2022-02-13_16-40-51,1644763251,277.99815607070923,92583,g6201.mahti.csc.fi,10.141.5.206,277.99815607070923,0,50,"424_beta_stoch=0.00045,mach_latent_dim=5",0.003,5,0.00045000000000000004,100,1.0,1.0
61aa9_00425,0.21221157908439636,28.545366287231445,0.0027653926517814398,0.6278102993965149,4.324626207351685,True,,,50,b17d85fc929143ae83832fa676b0c0a1,2022-02-13_16-41-01,1644763261,265.9399039745331,100097,g6201.mahti.csc.fi,10.141.5.206,265.9399039745331,0,50,"425_beta_stoch=0.0049,mach_latent_dim=14",0.003,14,0.0049,100,1.0,1.0
61aa9_00426,0.298270046710968,2.862818479537964,2.507353201508522e-06,0.6745563745498657,4.8526012897491455,True,,,40,5375abc962834f92abb66b1d22553be5,2022-02-13_16-40-54,1644763254,223.5374436378479,106652,g6201.mahti.csc.fi,10.141.5.206,223.5374436378479,0,40,"426_beta_stoch=0.79875,mach_latent_dim=14",0.003,14,0.7987500000000001,100,1.0,1.0
61aa9_00427,0.7370331883430481,3.0178864002227783,4.643185548047768e-06,0.6767436861991882,5.784648895263672,True,,,40,fe1300bb4853483aa26c8a69d2f74a3c,2022-02-13_16-41-16,1644763276,234.64306020736694,111347,g6201.mahti.csc.fi,10.141.5.206,234.64306020736694,0,40,"427_beta_stoch=0.3078,mach_latent_dim=6",0.003,6,0.3078,100,1.0,1.0
